Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.44685E-5,7.251125239,0.16681074,0.533046246,0.058651026,0
3.52559E-5,7.502138246,0.17027701,0.526305935,0.060117302,0
3.62868E-5,7.752231263,0.174793551,0.519752855,0.060117302,0
3.75151E-5,8.003297254,0.180142623,0.513387006,0.063049853,0
3.86256E-5,8.250526145,0.184948812,0.507302003,0.065982405,0
3.94654E-5,8.50057798,0.188565008,0.501310616,0.070381232,0
4.05883E-5,8.753377177,0.193374997,0.495412844,0.071847507,0
4.15232E-5,9.000044507,0.19735759,0.489795918,0.074780059,0
4.27258E-5,9.252967066,0.202451797,0.484178993,0.07771261,0
4.37826E-5,9.503728886,0.206902121,0.478749298,0.079178886,0
4.47386E-5,9.7519128,0.210906253,0.473506834,0.079178886,0
4.56635E-5,10.000640072,0.214760827,0.468357985,0.082111437,0
4.68828E-5,10.250460382,0.219813792,0.463302752,0.085043988,0
4.81888E-5,10.502640282,0.225189655,0.458341135,0.086510264,0
4.90584E-5,10.750687003,0.228748903,0.453566748,0.086510264,0
5.01542E-5,11.003807342,0.233210618,0.448792361,0.08797654,0
5.1137E-5,11.252045034,0.237190055,0.444205205,0.08797654,0
5.2277E-5,11.500036618,0.241780351,0.439711664,0.08797654,0
5.33876E-5,11.753682217,0.246225997,0.435218124,0.089442815,0
5.49036E-5,12.002432176,0.252251934,0.430911814,0.089442815,0
5.61059E-5,12.252298608,0.256996689,0.42669912,0.092375367,0
5.7149E-5,12.501597454,0.261088733,0.422580041,0.092375367,0
5.8462E-5,12.750475396,0.266207461,0.418554578,0.092375367,0
5.97171E-5,13.004522518,0.271067402,0.414529114,0.093841642,0
6.10364E-5,13.252091971,0.276141609,0.410690882,0.093841642,0
6.21383E-5,13.504835688,0.280352333,0.406852649,0.095307918,0
6.29309E-5,13.754853474,0.28336584,0.403108032,0.095307918,0
6.37938E-5,14.001985743,0.286632345,0.399457031,0.099706745,0
6.48292E-5,14.25279039,0.29053231,0.395806029,0.102639296,0
6.57482E-5,14.500805048,0.293975861,0.392248643,0.108504399,0
6.69577E-5,14.753393448,0.298482641,0.388691256,0.11143695,0
6.78895E-5,15.002980563,0.301934996,0.385227485,0.115835777,0
6.8826E-5,15.25600634,0.305387652,0.381763715,0.118768328,0
6.99091E-5,15.505866638,0.309359581,0.378393559,0.118768328,0
7.08347E-5,15.752018169,0.312735972,0.375117019,0.12170088,0
7.20236E-5,16.002501837,0.317048505,0.371840479,0.123167155,0
7.36565E-5,16.250317086,0.322927389,0.368657555,0.124633431,0
7.49128E-5,16.502937754,0.327416194,0.36547463,0.124633431,0
7.59951E-5,16.752144408,0.331259097,0.362385321,0.126099707,0
7.72531E-5,17.004862888,0.335698581,0.359296012,0.126099707,0
7.8715E-5,17.254180501,0.340820248,0.356300318,0.130498534,0
7.95688E-5,17.507419701,0.343793403,0.353304625,0.133431085,0
8.07994E-5,17.755764397,0.348054894,0.350402546,0.137829912,0
8.21771E-5,18.000544872,0.352793301,0.347594084,0.140762463,0
8.32921E-5,18.257097656,0.3566027,0.344692005,0.14516129,0
8.40272E-5,18.50821524,0.359101775,0.341883542,0.146627566,0
8.48037E-5,18.753077987,0.361731321,0.339168695,0.146627566,0
8.58979E-5,19.000634468,0.365418418,0.336453848,0.146627566,0
8.73046E-5,19.251997509,0.370127156,0.333739,0.149560117,0
8.84597E-5,19.506733121,0.373967445,0.331024153,0.15542522,0
8.93908E-5,19.755794028,0.377045937,0.328402921,0.15542522,0
9.02393E-5,20.007283699,0.379838249,0.325781689,0.158357771,0
9.17201E-5,20.25246224,0.384681578,0.323254072,0.158357771,0
9.29282E-5,20.5020503,0.388604521,0.320726456,0.164222874,0
9.3981E-5,20.75433612,0.392003076,0.318198839,0.168621701,0
9.51855E-5,21.000207608,0.395868085,0.315764838,0.173020528,0
9.61821E-5,21.258484322,0.39904751,0.313237221,0.173020528,0
9.68768E-5,21.500166298,0.401253766,0.310896836,0.174486804,0
9.77698E-5,21.753336813,0.404078027,0.308462835,0.17888563,0
9.86433E-5,22.0086743,0.406827662,0.306028834,0.181818182,0
9.94007E-5,22.256280091,0.409201446,0.303688448,0.184750733,0
1.00269E-4,22.505794191,0.411910964,0.301348062,0.186217009,0
1.00947E-4,22.757334627,0.414019303,0.299007676,0.18914956,0
1.0176E-4,23.000632264,0.416536386,0.296760906,0.18914956,0
1.02583E-4,23.256147827,0.419072195,0.294420521,0.18914956,0
1.03596E-4,23.503902338,0.42218094,0.29217375,0.192082111,0
1.04488E-4,23.753711472,0.424902134,0.28992698,0.196480938,0
1.05535E-4,24.005962419,0.428081774,0.28768021,0.197947214,0
1.06542E-4,24.260550664,0.431121785,0.285433439,0.19941349,0
1.07686E-4,24.507015511,0.43455929,0.283280285,0.200879765,0
1.08749E-4,24.756049917,0.437730381,0.28112713,0.209677419,0
1.09167E-4,25.006711853,0.438974128,0.278973975,0.209677419,0
1.09985E-4,25.25864088,0.441399161,0.27682082,0.212609971,0
1.10936E-4,25.501667948,0.44420483,0.274761281,0.214076246,0
1.11987E-4,25.758331208,0.447287981,0.272608126,0.214076246,0
1.12757E-4,26.005449682,0.449535994,0.270548586,0.215542522,0
1.13742E-4,26.254351581,0.452401776,0.268489047,0.218475073,0
1.14839E-4,26.505749896,0.455570851,0.266429508,0.221407625,0
1.15482E-4,26.758955063,0.457421946,0.264369968,0.221407625,0
1.16566E-4,27.002628637,0.460526635,0.262404044,0.224340176,0
1.17832E-4,27.260606418,0.46413023,0.260344505,0.227272727,0
1.18669E-4,27.509274268,0.466499616,0.258378581,0.230205279,0
1.19443E-4,27.759168059,0.468683234,0.256412657,0.230205279,0
1.20267E-4,28.010938227,0.470995468,0.254446733,0.23313783,0
1.21081E-4,28.25229255,0.473269911,0.252574424,0.236070381,0
1.22375E-4,28.507891236,0.476865926,0.2506085,0.239002933,0
1.23113E-4,28.75336861,0.478905658,0.248736192,0.24340176,0
1.23746E-4,29.000324289,0.480650525,0.246863883,0.246334311,0
1.24657E-4,29.26121222,0.483148282,0.244897959,0.250733138,0
1.25792E-4,29.51171073,0.486244585,0.243025651,0.253665689,0
1.26758E-4,29.751707019,0.488866296,0.241246957,0.255131965,0
1.27675E-4,30.006298769,0.491340872,0.239374649,0.255131965,0
1.28428E-4,30.262477454,0.493365372,0.23750234,0.255131965,0
1.29613E-4,30.507762316,0.496533889,0.235723647,0.258064516,0
1.30586E-4,30.755346699,0.499122048,0.233944954,0.260997067,0
1.31337E-4,31.004268406,0.501110251,0.232166261,0.263929619,0
1.32482E-4,31.2547362,0.504125115,0.230387568,0.263929619,0
