"Lon","Lat","origin"
42.21,-11.18,"no_sperm_whale_sighting"
38.46,-27.1,"no_encounter"
42.31,-35.61,"no_encounter"
61.63,-35.26,"no_encounter"
62.41,-35.75,"no_sperm_whale_sighting"
60.41,-37.33,"no_encounter"
42.46,-3.01,"no_sperm_whale_sighting"
28.1,-37.83,"no_sperm_whale_sighting"
44.83,-4.26,"no_encounter"
43.8,-11.95,"no_sperm_whale_sighting"
67.96,-33.78,"no_sperm_whale_sighting"
30,-31.81,"no_encounter"
46.16,-26.18,"no_encounter"
51.33,-28.63,"no_sperm_whale_sighting"
39.95,-27.68,"no_encounter"
64.71,-38.61,"no_sperm_whale_sighting"
56.58,-37.2,"no_encounter"
52.43,-5.38,"no_encounter"
78.66,-38.58,"no_sperm_whale_sighting"
69.88,-35.97,"no_sperm_whale_sighting"
54.76,-3.71,"no_sperm_whale_sighting"
45.31,-27.4,"no_sperm_whale_sighting"
54.7,-10.43,"no_sperm_whale_sighting"
47.28,2.78,"no_sperm_whale_sighting"
44.38,-15.38,"no_encounter"
32.68,-36.1,"no_sperm_whale_sighting"
53.5,-36.01,"no_encounter"
77.66,-24,"no_sperm_whale_sighting"
36.66,-36.06,"no_encounter"
55.01,-27.73,"no_encounter"
42.33,-11.95,"no_sperm_whale_sighting"
45.58,-39.96,"no_encounter"
59.36,-30.63,"no_encounter"
36.4,-25.33,"no_encounter"
70.5,-36.5,"no_encounter"
56.5,-34.15,"no_encounter"
71.43,-5.38,"no_sperm_whale_sighting"
53.25,-38.08,"no_encounter"
35.4,-31.11,"no_sperm_whale_sighting"
69,-39.2,"no_sperm_whale_sighting"
69.53,-23.2,"no_encounter"
65,-35.75,"no_encounter"
45.3,-11.5,"no_sperm_whale_sighting"
45.91,-5.11,"no_encounter"
74.83,-25.93,"no_encounter"
47.71,-35.91,"no_sperm_whale_sighting"
41.75,-7.71,"no_sperm_whale_sighting"
39.45,-35.33,"no_encounter"
46.5,-12.5,"no_sperm_whale_sighting"
74.96,8.11,"no_encounter"
62.6,-37.2,"no_sperm_whale_sighting"
40,-22,"no_encounter"
55.23,-31.9,"no_encounter"
52.71,-35.33,"no_encounter"
56.88,-21,"no_encounter"
54.46,-26.46,"no_encounter"
51.61,-18.65,"no_encounter"
33.7,-25.56,"no_sperm_whale_sighting"
47.71,-26.16,"no_sperm_whale_sighting"
62.21,-36.1,"no_sperm_whale_sighting"
64.73,-33.21,"no_encounter"
49.86,-29.18,"no_sperm_whale_sighting"
43.66,-12.7,"no_sperm_whale_sighting"
59.06,-34.83,"no_encounter"
76,6.66,"no_encounter"
55,-9.75,"no_encounter"
43.5,-23.5,"no_encounter"
61.08,-34.83,"no_sperm_whale_sighting"
56.73,-2.73,"no_encounter"
58.25,-2.31,"no_sperm_whale_sighting"
57.58,11.88,"no_encounter"
70.11,-6.28,"no_sperm_whale_sighting"
75,-38.01,"no_sperm_whale_sighting"
67.96,-39.95,"no_encounter"
56.05,-22.11,"no_sperm_whale_sighting"
56.96,-35.28,"no_sperm_whale_sighting"
72.51,-34.3,"no_sperm_whale_sighting"
47.51,-36.96,"no_sperm_whale_sighting"
48.25,-2.43,"no_encounter"
45.4,-33.15,"no_encounter"
29.38,-32.76,"no_sperm_whale_sighting"
57.63,-19.83,"no_sperm_whale_sighting"
69.48,-35.96,"no_sperm_whale_sighting"
73.55,-29.61,"no_sperm_whale_sighting"
27.88,-35.8,"no_sperm_whale_sighting"
31.55,-37.33,"no_encounter"
44.05,-12.66,"no_sperm_whale_sighting"
46.6,-30.18,"no_encounter"
78.36,-36.28,"no_sperm_whale_sighting"
67.75,-33.91,"no_sperm_whale_sighting"
58.16,-37.76,"no_encounter"
81.83,-35.66,"no_encounter"
42.01,-13.41,"no_encounter"
63.4,-35,"no_encounter"
31.58,-38,"no_encounter"
49.25,-24.7,"no_sperm_whale_sighting"
43.16,-12.66,"no_encounter"
40.26,-16.91,"no_sperm_whale_sighting"
69,-34.16,"no_sperm_whale_sighting"
49.16,-24.66,"no_encounter"
64.08,-37.78,"no_encounter"
61.69,-35.78,"no_sperm_whale_sighting"
74.08,-26.13,"no_sperm_whale_sighting"
53.4,-18.06,"no_sperm_whale_sighting"
